Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD_3,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,3121,обтяження відсутнє,,,,"2210,72",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD_4,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,3121,обтяження відсутнє,,,,"2210,72",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD_5,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,3121,обтяження відсутнє,,,,"2210,72",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD_6,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,3121,обтяження відсутнє,,,,"2210,72",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_1,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_2,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_3,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_4,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_5,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Offis Home and Business 2016 32/64 Russian DVD P2_6,"м. Херсон, вул. Перекопська, буд. 20, оф. 315",2017-11-21,5729,обтяження відсутнє,,,,"4058,03",Опозиційний блок,Херсонська обласна організація,37542218,Херсонська область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція WS Windows 10 home 64-bit russian 1pk DVD,"м. Хмельницький, вул. Північна, буд. 95/1",2017-11-30,3121,обтяження відсутнє,,,,"2730,875",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція WS Windows 10 home 64-bit russian 1pk DVD_1,"м. Хмельницький, вул. Північна, буд. 95/1",2017-11-30,3121,обтяження відсутнє,,,,"2730,875",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція WS OFFICE home end business 2016 32/64 russian  DVD H2,"м. Хмельницький, вул. Північна, буд. 95/1",2017-11-30,5729,обтяження відсутнє,,,,"5012,875",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція WS OFFICE home end business 2016 32/64 russian  DVD H3,"м. Хмельницький, вул. Північна, буд. 95/1",2017-11-30,5729,обтяження відсутнє,,,,"5012,875",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Хмельницький, вул. Північна, буд. 95/1",2017-10-25,3300,обтяження відсутнє,,,,"2887,5",Опозиційний блок,Хмельницька обласна організація,39698166,Хмельницька область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Черкаси, вул. Добровольського, буд. 1  ",2017-10-25,3300,обтяження відсутнє,,,,2475,Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (4 ліцензії),"м. Черкаси, вул. Добровольського, буд. 1  ",2017-11-29,12484,обтяження відсутнє,,,,9363,Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (4 ліцензії),"м. Черкаси, вул. Добровольського, буд. 1  ",2017-11-29,22916,обтяження відсутнє,,,,17187,Опозиційний блок,Черкаська обласна організація,39880926,Черкаська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Чернігів, просп. Перемоги, буд. 139",2017-10-24,3300,обтяження відсутнє,,,,2475,Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (5 ліцензії),"м. Чернігів, просп. Перемоги, буд. 139",2017-11-29,15605,обтяження відсутнє,,,,"11703,75",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (5 ліцензії),"м. Чернігів, просп. Перемоги, буд. 139",2017-11-29,28645,обтяження відсутнє,,,,"21483,75",Опозиційний блок,Чернігівська обласна організація,37418136,Чернігівська область,2,2018
